1,SuperAdministrador,Rol Con todos los privilegios de la plataforma y admin/*.,2017-06-02 12:10:06,2017-06-12 11:50:03,1,0
2,Operador,Permite a los usuarios Manipular las acciones de Operador,2017-06-02 12:10:06,2017-06-13 20:35:45,1,1
